,GPU MODEL,VRAM,H/s,APP,OS,TDP,DATE,GPU MODEL SPLIT
270,GIGABYTE AMD RADEON HD 7990,6 GB DDR5,1120,CLAYMORE 9.7,WINDOWS 10 x64,275 W,"Aug, 2017.",['GIGABYTE AMD RADEON HD 7990']
271,"MSI RX VEGA 56 (+2% 1080MV, 950 MHZ 850MV)",8 GB HBM MEMORY,1095,"XMR-STAK-AMD (intensity 1396, worksize 7)",WINDOWS 10 x64,N/A,"Sep, 2017.","['MSI RX VEGA 56 (+2% 1080MV, 950 MHZ 850MV)']"
272,"RX VEGA 56 (INTENSITY:1660, WORKSIZE:12, MEM:930 MHZ, GPUFREQ: -3)",8 GB HBM2 MEMORY,1091,XMR-STAK-AMD,WINDOWS 10 x64,220 W,"Sep, 2017.","['RX VEGA 56 (INTENSITY:1660, WORKSIZE:12, MEM:930 MHZ, GPUFREQ: -3)']"
273,2X GTX 1060,6 GB DDR5,1090,CCMINER - -L 8X120 --BFACTOR=8 --BSLEEP=100,WINDOWS 10 x64,120 W,"Oct, 2017.",['2X GTX 1060']
274,2X EVGA GTX 980 SC,4 GB DDR5,1086,XMR-STAK-NVIDIA,MAC OS X,330 W,"Nov, 2017.",['2X EVGA GTX 980 SC']
275,"MSI RX-480 GAMING X 8GB (AMD BETA BLOCKCHAIN DRIVERS, MODDED RX480 BIOS W/UBERMIX V3.1 EXTREME, STOCK CLOCK: 1303MHZ, STOCK MEMORY: 2000MHZ,",8 GB DDR5,1071,CAST XMR MINER,WINDOWS 10 x64,160 W,"Dec, 2017.","['MSI RX-480 GAMING X 8GB (AMD BETA BLOCKCHAIN DRIVERS, MODDED RX480 BIOS W/UBERMIX V3.1 EXTREME, STOCK CLOCK: 1303MHZ, STOCK MEMORY: 2000MHZ,']"
276,TITAN Z,12 GB DDR5,1070,XMRIG-NVIDIA,UBUNTU 16.04 x64,N/A,"Nov, 2017.",['TITAN Z']
277,SAPPHIRE NITRO+ 8G,8 GB DDR5,1070,XMR-STAK,WINDOWS 10 x64,138 W,"Dec, 2017.",['SAPPHIRE NITRO+ 8G']
278,ASUS RX 580 DUAL-RX580-O8G,8 GB DDR5,1060,GATELESSGATE-0.1.3-PRE6B-WIN64,WINDOWS 10 x64,N/A,"Dec, 2017.",['ASUS RX 580 DUAL-RX580-O8G']
279,SAPPHIRE PULSE RX 580 8GB,8 GB DDR5,1050,"CAST XMR 0.7, UBERMIX 3.1 TIMINGS",WINDOWS 10 x64,105 W,"Dec, 2017.",['SAPPHIRE PULSE RX 580 8GB']
280,ASUS RX 580 DUAL,8 GB DDR5,1050,CLAYMORE 10.2 (UBERMIX 3.1),WINDOWS 10 x64,100 W,"Dec, 2017.",['ASUS RX 580 DUAL']
281,"SAPPHIRE RADEON RX570 NITRO+ ""SAMSUNG MEMORY"" - 1380MHZ CORE - 2070MHZ MEMORY  + MEMORY STRAP 1750+",8 GB DDR5,1045,CLAYMORE'S CRYPTONOTE AMD GPU MINER V11.2,WINDOWS 10 x64,120 W,"Jan, 2018.","['SAPPHIRE RADEON RX570 NITRO+ ""SAMSUNG MEMORY"" - 1380MHZ CORE - 2070MHZ MEMORY ', 'MEMORY STRAP 1750+']"
282,2X GIGABYTE R9 270X WINDFORCE,2 GB DDR5,1045,CLAYMORE CRYPTONOTE GPU MINER V9.7 BETA,WINDOWS 10 x64,160 W,"Jan, 2018.",['2X GIGABYTE R9 270X WINDFORCE']
283,GIGABYTE RX VEGA 64 HBM2 8GB (VEGA 10),8 GB HBM2 MEMORY,1040,XMRIG-AMD,WINDOWS 10 x64,300 W,"Nov, 2017.",['GIGABYTE RX VEGA 64 HBM2 8GB (VEGA 10)']
